product_id,title,image_path,category,label_group
P0001,Nordwave Cotton Tee Red Size M,sample_images/P0001.jpg,Fashion,tshirt_red
P0002,New Nordwave NO-TS106 T Shirt - Red,sample_images/P0002.jpg,Fashion,tshirt_red
P0003,[PROMO] T Shirt Nordwave Blue NO-TS113 free shipping,sample_images/P0003.jpg,Fashion,tshirt_blue
P0004,nordwave blue t shirt Size M - original,sample_images/P0004.jpg,Fashion,tshirt_blue
P0005,NORDWAVE T SHIRT GREEN Size M ready stock,sample_images/P0005.jpg,Fashion,tshirt_green
P0006,NORDWAVE COTTON T-SHIRT GREEN Size M ready stock,sample_images/P0006.jpg,Fashion,tshirt_green
P0007,[PROMO] Cotton Tee Nordwave Green NO-TS120 free shipping,sample_images/P0007.jpg,Fashion,tshirt_green
P0008,urbankraft black t shirt Size M - original,sample_images/P0008.jpg,Fashion,tshirt_black
P0009,Black Cotton T-Shirt by UrbanKraft (UR-TS127),sample_images/P0009.jpg,Fashion,tshirt_black
P0010,[PROMO] T Shirt UrbanKraft Black UR-TS127 free shipping,sample_images/P0010.jpg,Fashion,tshirt_black
P0011,Black Cotton Tee by UrbanKraft (UR-TS127),sample_images/P0011.jpg,Fashion,tshirt_black
P0012,urbankraft yellow t shirt Size M - original,sample_images/P0012.jpg,Fashion,tshirt_yellow
P0013,Yellow T Shirt by UrbanKraft (UR-TS134),sample_images/P0013.jpg,Fashion,tshirt_yellow
P0014,Yellow Cotton Tee by UrbanKraft (UR-TS134),sample_images/P0014.jpg,Fashion,tshirt_yellow
P0015,New Casa Bella CA-MU103 Ceramic Coffee Mug - Red,sample_images/P0015.jpg,Home & Kitchen,mug_red
P0016,[PROMO] Mug Casa Bella Red CA-MU103 free shipping,sample_images/P0016.jpg,Home & Kitchen,mug_red
P0017,New Casa Bella CA-MU110 Ceramic Coffee Mug - Blue,sample_images/P0017.jpg,Home & Kitchen,mug_blue
P0018,casa bella blue ceramic coffee mug 350ml - original,sample_images/P0018.jpg,Home & Kitchen,mug_blue
P0019,casa bella blue mug 350ml - original,sample_images/P0019.jpg,Home & Kitchen,mug_blue
P0020,New Casa Bella CA-MU117 Mug - Green,sample_images/P0020.jpg,Home & Kitchen,mug_green
P0021,[PROMO] Coffee Cup Casa Bella Green CA-MU117 free shipping,sample_images/P0021.jpg,Home & Kitchen,mug_green
P0022,[PROMO] Ceramic Coffee Mug BrewCo Black BR-MU124 free shipping,sample_images/P0022.jpg,Home & Kitchen,mug_black
P0023,brewco black ceramic coffee mug 350ml - original,sample_images/P0023.jpg,Home & Kitchen,mug_black
P0024,BrewCo Mug Black 350ml,sample_images/P0024.jpg,Home & Kitchen,mug_black
P0025,brewco yellow coffee cup 350ml - original,sample_images/P0025.jpg,Home & Kitchen,mug_yellow
P0026,New BrewCo BR-MU131 Ceramic Coffee Mug - Yellow,sample_images/P0026.jpg,Home & Kitchen,mug_yellow
P0027,brewco yellow mug 350ml - original,sample_images/P0027.jpg,Home & Kitchen,mug_yellow
P0028,[PROMO] Mug BrewCo Yellow BR-MU131 free shipping,sample_images/P0028.jpg,Home & Kitchen,mug_yellow
P0029,Red Insulated Bottle by HydroPeak (HY-BO106),sample_images/P0029.jpg,Sports,bottle_red
P0030,Red Water Flask by HydroPeak (HY-BO106),sample_images/P0030.jpg,Sports,bottle_red
P0031,HYDROPEAK WATER FLASK BLUE 750ml ready stock,sample_images/P0031.jpg,Sports,bottle_blue
P0032,HydroPeak Stainless Steel Water Bottle Blue 750ml,sample_images/P0032.jpg,Sports,bottle_blue
P0033,New HydroPeak HY-BO120 Water Flask - Green,sample_images/P0033.jpg,Sports,bottle_green
P0034,New HydroPeak HY-BO120 Water Flask - Green,sample_images/P0034.jpg,Sports,bottle_green
P0035,Black Stainless Steel Water Bottle by AquaTrail (AQ-BO127),sample_images/P0035.jpg,Sports,bottle_black
P0036,aquatrail black water flask 750ml - original,sample_images/P0036.jpg,Sports,bottle_black
P0037,AquaTrail Insulated Bottle Black 750ml,sample_images/P0037.jpg,Sports,bottle_black
P0038,AquaTrail Water Flask Black 750ml,sample_images/P0038.jpg,Sports,bottle_black
P0039,AquaTrail Stainless Steel Water Bottle Yellow 750ml,sample_images/P0039.jpg,Sports,bottle_yellow
P0040,Yellow Insulated Bottle by AquaTrail (AQ-BO134),sample_images/P0040.jpg,Sports,bottle_yellow
P0041,AQUATRAIL WATER FLASK YELLOW 750ml ready stock,sample_images/P0041.jpg,Sports,bottle_yellow
P0042,AquaTrail Stainless Steel Water Bottle Yellow 750ml,sample_images/P0042.jpg,Sports,bottle_yellow
P0043,Red Trainers by Stridex (ST-SN107),sample_images/P0043.jpg,Fashion,sneaker_red
P0044,STRIDEX RUNNING SNEAKERS RED EU 42 ready stock,sample_images/P0044.jpg,Fashion,sneaker_red
P0045,STRIDEX SPORT SHOES RED EU 42 ready stock,sample_images/P0045.jpg,Fashion,sneaker_red
P0046,Red Running Sneakers by Stridex (ST-SN107),sample_images/P0046.jpg,Fashion,sneaker_red
P0047,Blue Running Sneakers by Stridex (ST-SN114),sample_images/P0047.jpg,Fashion,sneaker_blue
P0048,New Stridex ST-SN114 Trainers - Blue,sample_images/P0048.jpg,Fashion,sneaker_blue
P0049,Green Running Sneakers by Stridex (ST-SN121),sample_images/P0049.jpg,Fashion,sneaker_green
P0050,Green Trainers by Stridex (ST-SN121),sample_images/P0050.jpg,Fashion,sneaker_green
P0051,Green Trainers by Stridex (ST-SN121),sample_images/P0051.jpg,Fashion,sneaker_green
P0052,STRIDEX SPORT SHOES GREEN EU 42 ready stock,sample_images/P0052.jpg,Fashion,sneaker_green
P0053,kickline black running sneakers EU 42 - original,sample_images/P0053.jpg,Fashion,sneaker_black
P0054,New Kickline KI-SN128 Sport Shoes - Black,sample_images/P0054.jpg,Fashion,sneaker_black
P0055,Yellow Sport Shoes by Kickline (KI-SN135),sample_images/P0055.jpg,Fashion,sneaker_yellow
P0056,New Kickline KI-SN135 Sport Shoes - Yellow,sample_images/P0056.jpg,Fashion,sneaker_yellow
P0057,New Novatel NO-PH105 Mobile Phone - Red,sample_images/P0057.jpg,Electronics,phone_red
P0058,NOVATEL SMARTPHONE RED 128GB ready stock,sample_images/P0058.jpg,Electronics,phone_red
P0059,[PROMO] Android Phone Novatel Blue NO-PH112 free shipping,sample_images/P0059.jpg,Electronics,phone_blue
